[2025-10-11 20:42:35.638] [info] [145] yolo: 8.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:35.680] [info] [146] yolo: 7.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:35.724] [info] [147] yolo: 8.7ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:35.766] [debug] [Target] r=0.067, l=-0.132
[2025-10-11 20:42:35.766] [debug] [Tracker] Target diverged!
[2025-10-11 20:42:35.766] [info] [148] yolo: 7.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:35.810] [info] [149] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:35.853] [debug] [Target] r=0.119, l=-0.081
[2025-10-11 20:42:35.853] [debug] [Tracker] Target diverged!
[2025-10-11 20:42:35.853] [info] [150] yolo: 8.2ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:35.899] [info] [151] yolo: 10.0ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:35.942] [info] [152] yolo: 8.4ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:35.985] [warning] [Tracker] Large dt: 26.099s
[2025-10-11 20:42:35.986] [info] [153] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:36.028] [info] [154] yolo: 8.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:36.071] [info] [155] yolo: 8.1ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:36.112] [info] [156] yolo: 7.6ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:36.157] [info] [157] yolo: 8.6ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:36.203] [info] [158] yolo: 10.8ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:36.248] [info] [159] yolo: 10.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:36.291] [info] [160] yolo: 8.5ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:36.334] [info] [161] yolo: 8.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:36.378] [info] [162] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:36.422] [info] [163] yolo: 9.2ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:36.468] [info] [164] yolo: 10.4ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:36.515] [info] [165] yolo: 11.9ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:36.562] [info] [166] yolo: 9.9ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:36.610] [info] [167] yolo: 12.7ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:36.657] [info] [168] yolo: 11.5ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:36.713] [info] [169] yolo: 16.9ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:36.759] [info] [170] yolo: 10.7ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:36.805] [info] [171] yolo: 11.5ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:36.852] [info] [172] yolo: 11.1ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:36.902] [info] [173] yolo: 12.1ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:36.948] [info] [174] yolo: 11.3ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:36.998] [info] [175] yolo: 13.0ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:37.042] [info] [176] yolo: 9.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:37.087] [info] [177] yolo: 8.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:37.130] [info] [178] yolo: 8.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:37.175] [info] [179] yolo: 8.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:37.218] [info] [180] yolo: 7.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:37.261] [info] [181] yolo: 7.9ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:37.304] [info] [182] yolo: 7.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:37.349] [info] [183] yolo: 8.6ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:37.393] [info] [184] yolo: 9.3ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:37.438] [info] [185] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:37.482] [info] [186] yolo: 9.4ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:37.529] [info] [187] yolo: 9.2ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:37.578] [info] [188] yolo: 11.0ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:37.624] [info] [189] yolo: 9.9ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:37.669] [info] [190] yolo: 10.2ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:37.715] [info] [191] yolo: 9.8ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:37.762] [info] [192] yolo: 11.4ms, tracker: 0.6ms, aimer: 0.0ms
[2025-10-11 20:42:37.809] [info] [193] yolo: 10.5ms, tracker: 0.7ms, aimer: 0.0ms
[2025-10-11 20:42:37.853] [info] [194] yolo: 9.7ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:37.900] [info] [195] yolo: 10.5ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:37.946] [info] [196] yolo: 11.0ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:37.993] [info] [197] yolo: 10.3ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:38.038] [info] [198] yolo: 10.1ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:38.085] [info] [199] yolo: 11.0ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:38.132] [info] [200] yolo: 10.1ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:38.181] [info] [201] yolo: 11.3ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:38.231] [info] [202] yolo: 13.0ms, tracker: 0.7ms, aimer: 0.0ms
[2025-10-11 20:42:38.280] [info] [203] yolo: 11.7ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:38.322] [info] [204] yolo: 7.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:38.367] [info] [205] yolo: 8.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:38.411] [info] [206] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:38.455] [info] [207] yolo: 8.8ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:38.499] [info] [208] yolo: 9.3ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:38.544] [info] [209] yolo: 8.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:38.587] [info] [210] yolo: 8.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:38.634] [info] [211] yolo: 10.0ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:38.680] [info] [212] yolo: 11.0ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:38.727] [info] [213] yolo: 10.5ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:38.771] [info] [214] yolo: 9.6ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:38.817] [info] [215] yolo: 10.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:38.861] [info] [216] yolo: 8.8ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:38.908] [info] [217] yolo: 10.4ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:38.951] [info] [218] yolo: 9.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:38.995] [info] [219] yolo: 8.1ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:39.042] [info] [220] yolo: 11.4ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:39.088] [info] [221] yolo: 10.9ms, tracker: 0.0ms, aimer: 0.0ms
