[2025-10-11 21:03:46.638] [info] Mindvision opened.
[2025-10-11 21:03:46.638] [info] SocketCAN opened.
[2025-10-11 21:03:46.638] [info] [Cboard] Waiting for q...
[2025-10-11 21:03:46.645] [info] [Cboard] Opened.
[2025-10-11 21:04:17.689] [debug] [Target] r=0.128, l=-0.187
[2025-10-11 21:04:17.689] [debug] [Tracker] Target diverged!
[2025-10-11 21:04:44.724] [debug] [Target] r=0.049, l=0.000
[2025-10-11 21:04:44.724] [debug] [Tracker] Target diverged!
[2025-10-11 21:04:45.794] [debug] [Target] r=0.048, l=0.000
[2025-10-11 21:04:45.794] [debug] [Tracker] Target diverged!
[2025-10-11 21:05:53.962] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:54.062] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:54.162] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:54.262] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:54.363] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:54.463] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:54.563] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:54.663] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:54.763] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:54.863] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:54.964] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:55.064] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:55.164] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:55.264] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:55.364] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:55.465] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:55.565] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:55.665] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:55.765] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:55.865] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:55.965] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:56.066] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:56.166] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:56.266] [warning] SocketCAN::open() failed: Error getting interface index!
